locality,region_id
Rowville  North,211011257
Rowville  South,211011258
Wantirna,211011259
Wantirna South,211011260
Donvale  Park Orchards,211021261
Warrandyte  Wonga Park,211021262
Bayswater North,211031263
Croydon,211031264
Croydon Hills  Warranwood,211031265
Ringwood,211031266
Ringwood East,211031267
Ringwood North,211031268
Forest Hill,211041269
Mitcham ,211041270
Nunawading,211041271
Vermont,211041272
Vermont South,211041273
Belgrave  Selby,211051274
Chirnside Park,211051275
Healesville  Yarra Glen,211051276
Kilsyth,211051277
Lilydale  Coldstream,211051278
Monbulk  Silvan,211051279
Montrose,211051280
Mooroolbark,211051281
Mount Dandenong  Olinda,211051282
Mount Evelyn,211051283
Upwey  Tecoma,211051284
Wandin  Seville,211051285
Yarra Valley,211051286
Beaconsfield  Officer,212011287
Bunyip  Garfield,212011288
Emerald  Cockatoo,212011289
Koo Wee Rup,212011290
Pakenham  North,212011291
Pakenham  South,212011292
Berwick  North,212021293
Berwick  South,212021294
Doveton,212021295
Endeavour Hills,212021296
Hallam,212021297
Narre Warren,212021298
Narre Warren North,212021299
Cranbourne,212031300
Cranbourne East,212031301
Cranbourne North,212031302
Cranbourne South,212031303
Cranbourne West,212031304
Hampton Park  Lynbrook,212031305
Lynbrook  Lyndhurst,212031306
Narre Warren South,212031307
Pearcedale  Tooradin,212031308
Clarinda  Oakleigh South,212041309
Clayton South,212041310
Dandenong,212041311
Dandenong North,212041312
Dingley Village,212041313
Keysborough,212041314
Noble Park,212041315
Noble Park North,212041316
Springvale,212041317
Springvale South,212041318
Ashwood  Chadstone,212051319
Clayton,212051320
Glen Waverley  East,212051321
Glen Waverley  West,212051322
Mount Waverley  North,212051323
Mount Waverley  South,212051324
Mulgrave,212051325
Oakleigh  Huntingdale,212051326
Wheelers Hill,212051327
Ardeer  Albion,213011328
Cairnlea,213011329
Deer Park  Derrimut,213011330
Delahey,213011331
Keilor Downs,213011332
Kings Park ,213011333
St Albans  North,213011334
St Albans  South,213011335
Sunshine,213011336
Sunshine North,213011337
Sunshine West,213011338
Sydenham,213011339
Taylors Lakes,213011340
Altona,213021341
Altona Meadows,213021342
Altona North,213021343
Newport,213021344
Seabrook,213021345
Williamstown,213021346
Braybrook,213031347
Footscray,213031348
Maribyrnong,213031349
Seddon  Kingsville,213031350
West Footscray  Tottenham,213031351
Yarraville,213031352
Bacchus Marsh,213041353
Caroline Springs,213041354
Hillside,213041355
Melton,213041356
Melton South,213041357
Melton West,213041358
Rockbank  Mount Cottrell,213041359
Taylors Hill,213041360
Hoppers Crossing  North,213051361
Hoppers Crossing  South,213051362
Laverton,213051363
Point Cook,213051364
Tarneit,213051365
Truganina,213051366
Werribee,213051367
Werribee  South,213051368
Wyndham Vale,213051369
Carrum Downs,214011370
Frankston,214011371
Frankston North,214011372
Frankston South,214011373
Langwarrin,214011374
Seaford ,214011375
Skye  Sandhurst,214011376
Dromana,214021377
Flinders,214021378
Hastings  Somers,214021379
Mornington,214021380
Mount Eliza,214021381
Mount Martha,214021382
Point Nepean,214021383
Rosebud  McCrae,214021384
Somerville,214021385
Ararat,215011386
Ararat Region,215011387
Horsham,215011388
Horsham Region,215011389
Nhill Region,215011390
St Arnaud,215011391
Stawell,215011392
West Wimmera,215011393
Yarriambiack,215011394
Irymple,215021395
Merbein,215021396
Mildura,215021397
Mildura Region,215021398
Red Cliffs,215021399
Buloke,215031400
Gannawarra,215031401
Kerang,215031402
Robinvale,215031403
Swan Hill,215031404
Swan Hill Region,215031405
Echuca,216011406
Kyabram,216011407
Lockington  Gunbower,216011408
Rochester,216011409
Rushworth,216011410
Cobram,216021411
Moira,216021412
Numurkah,216021413
Yarrawonga,216021414
Mooroopna,216031415
Shepparton  North,216031416
Shepparton  South,216031417
Shepparton Region  East,216031418
Shepparton Region  West,216031419
Glenelg ,217011420
Hamilton ,217011421
Portland,217011422
Southern Grampians,217011423
Camperdown,217021424
Colac,217021425
Colac Region,217021426
Corangamite  North,217021427
Corangamite  South,217021428
Moyne  East,217021429
Moyne  West,217021430
Otway,217021431
Warrnambool  North,217021432
Warrnambool  South,217021433
Migratory  Offshore  Shipping ,297979799
